site_name,category,site,replicate,canopy_cover,n_tree_spec,n_tree_ind,dbh_min,dbh_mean,dbh_max,n_microhabitats,latitude,longitude
1_kloster,park,1,1_1,70,6,11,18,46,58,68,120,5
1_kloster,park,1,1_2,50,5,14,54,11,99,75,130,83
1_kloster,park,1,1_3,15,7,12,38,83,73,3,149,29
2_cityforest,forest,2,2_1,85,4,18,13,69,39,33,67,8
2_cityforest,forest,2,2_2,80,7,19,7,64,35,14,65,25
2_cityforest,forest,2,2_3,85,4,12,11,3,38,4,63,66
3_weende,forest,3,3_1,85,4,24,7,64,27,87,57,3
3_weende,forest,3,3_2,75,4,17,7,32,29,7,57,3
3_weende,forest,3,3_3,80,4,18,9,55,30,31,49,97
4_schlucht,forest,4,4_1,85,7,16,7,32,42,85,72,26
4_schlucht,forest,4,4_2,80,2,28,8,59,25,93,57,93
4_schlucht,forest,4,4_3,35,3,22,7,8,33,4,68,75
5_cheltenham,park,5,5_1,35,9,15,9,87,59,18,131,46
5_cheltenham,park,5,5_2,55,7,15,31,51,67,33,126,5
5_cheltenham,park,5,5_3,20,10,16,9,39,58,6,118,41
6_cemetery,park,6,6_1,,,,,,,,,
6_cemetery,park,6,6_2,,,,,,,,,
6_cemetery,park,6,6_3,,,,,,,,,
