replicate,Anas platyrhynchos,Anthus trivialis,Apus apus,Carduelis carduelis,Certhia brachydactyla,Columba palumbus,Corvus corone,Delichon urbicum,Dendrocopos major,Dryobates minor,Dryocopus martius,Erithacus rubecula,Fringilla coelebs,Gallinula chloropus,Muscicapa striata,Parus caeruleus,Parus major,Passer domesticus,Phylloscopus collybita,Pyrrhula pyrrhula,Regulus ignicapilla,Sitta europaea,Sylvia atricapilla,Troglodytes troglodytes,Turdus merula,Turdus philomelos,Turdus viscivorus
1_1,,,,2,,4,1,,,,,,2,1,1,1,1,,,,,,1,,5,2,
1_2,,,7,,,2,5,,,,,,3,1,,3,2,,2,,1,,,1,6,,3
1_3,2,,3,,,4,4,,,1,,1,4,,,1,1,2,1,,,,1,1,5,,
2_1,,,,,1,3,,,3,,,,7,,,1,,,,,1,,,,3,,
2_2,,,,,,3,,,,,,,5,,,1,1,,,,1,,1,,1,,
2_3,,,,,,1,,,3,,,1,5,,,,2,,,1,,,2,1,1,,
3_1,,1,,,,,1,,,,,,4,,,2,,,2,,,,,,3,,
3_2,,,,,,3,2,,3,,1,1,3,,,,3,,3,,,,,,3,,
3_3,,,,,,2,3,,,,,,3,,,,3,,2,,,2,,,1,,
4_1,,,,,,1,,,1,,,,2,,,,2,,1,,2,,3,,,,
4_2,,,,,,1,2,,1,,,,2,,,2,1,,3,,1,,3,,2,,
4_3,,,,,,2,,,,,,1,2,,,,1,,2,,1,,5,,1,,
5_1,,,1,,,5,,,,,,,1,,,,2,8,1,,,,,,1,,
5_2,,,3,,,4,1,,1,,,,1,,,,3,,2,,,,,,2,,
5_3,,,7,1,1,4,,1,,,,,,,,,3,,2,,,,1,,4,,
6_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
